mts,ts_utc,open,close,high,low,volume,candle_key,raw
1782955800000,2026-07-02T01:30:00+00:00,0.00017645,0.00028,0.0003,0.00017645,2946749.85126404,trade:1m:fUSD:a30:p2:p30,"[1782955800000, 0.00017645, 0.00028, 0.0003, 0.00017645, 2946749.85126404]"
1782956700000,2026-07-02T01:45:00+00:00,8e-05,0.00011,0.00011,8e-05,5528.0090704,trade:1m:fUSD:a30:p2:p30,"[1782956700000, 8e-05, 0.00011, 0.00011, 8e-05, 5528.0090704]"
1782956940000,2026-07-02T01:49:00+00:00,0.00014189,0.00014988,0.00014988,0.00014189,22000,trade:1m:fUSD:a30:p2:p30,"[1782956940000, 0.00014189, 0.00014988, 0.00014988, 0.00014189, 22000]"
1782969300000,2026-07-02T05:15:00+00:00,0.00019458,0.0002,0.0002,0.00017645,22089.36858531,trade:1m:fUSD:a30:p2:p30,"[1782969300000, 0.00019458, 0.0002, 0.0002, 0.00017645, 22089.36858531]"
1782969480000,2026-07-02T05:18:00+00:00,0.00019638,0.00019638,0.00019638,0.00019638,150,trade:1m:fUSD:a30:p2:p30,"[1782969480000, 0.00019638, 0.00019638, 0.00019638, 0.00019638, 150]"
1782969540000,2026-07-02T05:19:00+00:00,0.00016712,0.00016712,0.00016712,0.00016712,161.94,trade:1m:fUSD:a30:p2:p30,"[1782969540000, 0.00016712, 0.00016712, 0.00016712, 0.00016712, 161.94]"
1782969600000,2026-07-02T05:20:00+00:00,0.00017645,0.00024,0.00024,0.00017645,157766.18232008,trade:1m:fUSD:a30:p2:p30,"[1782969600000, 0.00017645, 0.00024, 0.00024, 0.00017645, 157766.18232008]"
1782969960000,2026-07-02T05:26:00+00:00,0.00018,0.00018,0.00018,0.00018,528.54,trade:1m:fUSD:a30:p2:p30,"[1782969960000, 0.00018, 0.00018, 0.00018, 0.00018, 528.54]"
1782970200000,2026-07-02T05:30:00+00:00,0.000202,0.00032877,0.00032877,0.000202,4814388.89299385,trade:1m:fUSD:a30:p2:p30,"[1782970200000, 0.000202, 0.00032877, 0.00032877, 0.000202, 4814388.89299385]"
1782970260000,2026-07-02T05:31:00+00:00,0.00032877,0.00032877,0.00033,0.00024658,521992.36514444003,trade:1m:fUSD:a30:p2:p30,"[1782970260000, 0.00032877, 0.00032877, 0.00033, 0.00024658, 521992.36514444003]"
1782970500000,2026-07-02T05:35:00+00:00,0.00017645,0.00018016,0.00018016,0.00017645,585.78,trade:1m:fUSD:a30:p2:p30,"[1782970500000, 0.00017645, 0.00018016, 0.00018016, 0.00017645, 585.78]"
1782979500000,2026-07-02T08:05:00+00:00,0.00014549,0.00014549,0.00014549,0.00014549,150,trade:1m:fUSD:a30:p2:p30,"[1782979500000, 0.00014549, 0.00014549, 0.00014549, 0.00014549, 150]"
1782979560000,2026-07-02T08:06:00+00:00,0.00014549,0.00014549,0.00014549,0.00014549,30.06418922,trade:1m:fUSD:a30:p2:p30,"[1782979560000, 0.00014549, 0.00014549, 0.00014549, 0.00014549, 30.06418922]"
1782979620000,2026-07-02T08:07:00+00:00,0.00014113,0.00015426,0.00015426,0.00014113,10000,trade:1m:fUSD:a30:p2:p30,"[1782979620000, 0.00014113, 0.00015426, 0.00015426, 0.00014113, 10000]"
1782979680000,2026-07-02T08:08:00+00:00,0.00015426,0.00015427,0.00015427,0.00014627,105000,trade:1m:fUSD:a30:p2:p30,"[1782979680000, 0.00015426, 0.00015427, 0.00015427, 0.00014627, 105000]"
1782979740000,2026-07-02T08:09:00+00:00,0.00015427,0.00015427,0.00015427,0.00015427,1263.92788124,trade:1m:fUSD:a30:p2:p30,"[1782979740000, 0.00015427, 0.00015427, 0.00015427, 0.00015427, 1263.92788124]"
1782979800000,2026-07-02T08:10:00+00:00,0.00014964,0.000302,0.000302,0.00014964,5792600.03057518,trade:1m:fUSD:a30:p2:p30,"[1782979800000, 0.00014964, 0.000302, 0.000302, 0.00014964, 5792600.03057518]"
1782979920000,2026-07-02T08:12:00+00:00,0.00015579,0.00017137,0.00017137,0.00015579,691.8378280100001,trade:1m:fUSD:a30:p2:p30,"[1782979920000, 0.00015579, 0.00017137, 0.00017137, 0.00015579, 691.8378280100001]"
1782980340000,2026-07-02T08:19:00+00:00,0.00020273,0.00020273,0.00020273,0.00020273,455.6,trade:1m:fUSD:a30:p2:p30,"[1782980340000, 0.00020273, 0.00020273, 0.00020273, 0.00020273, 455.6]"
1782980460000,2026-07-02T08:21:00+00:00,0.00020241,0.00020241,0.00020241,0.00020241,150,trade:1m:fUSD:a30:p2:p30,"[1782980460000, 0.00020241, 0.00020241, 0.00020241, 0.00020241, 150]"
1782980880000,2026-07-02T08:28:00+00:00,0.00020762,0.00020867,0.00020867,0.00020762,6748.53363306,trade:1m:fUSD:a30:p2:p30,"[1782980880000, 0.00020762, 0.00020867, 0.00020867, 0.00020762, 6748.53363306]"
1782980940000,2026-07-02T08:29:00+00:00,0.00020867,0.00024929,0.00024929,0.00020867,16073.6556908,trade:1m:fUSD:a30:p2:p30,"[1782980940000, 0.00020867, 0.00024929, 0.00024929, 0.00020867, 16073.6556908]"
1782981000000,2026-07-02T08:30:00+00:00,0.00024658,0.00032232,0.00032232,0.00024658,2648918.10638811,trade:1m:fUSD:a30:p2:p30,"[1782981000000, 0.00024658, 0.00032232, 0.00032232, 0.00024658, 2648918.10638811]"
1782989040000,2026-07-02T10:44:00+00:00,0.00015,0.00015,0.00015,0.00015,22912.57748167,trade:1m:fUSD:a30:p2:p30,"[1782989040000, 0.00015, 0.00015, 0.00015, 0.00015, 22912.57748167]"
1782989100000,2026-07-02T10:45:00+00:00,8e-05,8e-05,8e-05,8e-05,8886.11059913,trade:1m:fUSD:a30:p2:p30,"[1782989100000, 8e-05, 8e-05, 8e-05, 8e-05, 8886.11059913]"
1782989340000,2026-07-02T10:49:00+00:00,0.00014,0.00015,0.00015,0.00014,9868.68846503,trade:1m:fUSD:a30:p2:p30,"[1782989340000, 0.00014, 0.00015, 0.00015, 0.00014, 9868.68846503]"
1782989400000,2026-07-02T10:50:00+00:00,0.0001455,0.000316,0.000316,0.0001455,5748978.2721792,trade:1m:fUSD:a30:p2:p30,"[1782989400000, 0.0001455, 0.000316, 0.000316, 0.0001455, 5748978.2721792]"
1782990120000,2026-07-02T11:02:00+00:00,0.00017001,0.00017995,0.00017995,0.00017001,4569.643577,trade:1m:fUSD:a30:p2:p30,"[1782990120000, 0.00017001, 0.00017995, 0.00017995, 0.00017001, 4569.643577]"
1782990240000,2026-07-02T11:04:00+00:00,0.00018001,0.00020448,0.0002058,0.00018001,47770.57937663,trade:1m:fUSD:a30:p2:p30,"[1782990240000, 0.00018001, 0.00020448, 0.0002058, 0.00018001, 47770.57937663]"
1782990600000,2026-07-02T11:10:00+00:00,0.00018018,0.00030947,0.00030947,0.00018018,7085155.5121251,trade:1m:fUSD:a30:p2:p30,"[1782990600000, 0.00018018, 0.00030947, 0.00030947, 0.00018018, 7085155.5121251]"
1782990660000,2026-07-02T11:11:00+00:00,0.00030947,0.00028642,0.00031,0.00024999,3398104.87877129,trade:1m:fUSD:a30:p2:p30,"[1782990660000, 0.00030947, 0.00028642, 0.00031, 0.00024999, 3398104.87877129]"
