mts,ts_utc,frr,avg_period,funding_amount,funding_amount_used,funding_below_threshold,raw
1784430300000,2026-07-19T03:05:00+00:00,9.9e-07,88.88,5962429868.463921,5924698313.6841345,563542566.2766966,"[1784430300000, null, null, 9.9e-07, 88.88, null, null, 5962429868.463921, 5924698313.6841345, null, null, 563542566.2766966]"
1784441100000,2026-07-19T06:05:00+00:00,9.9e-07,89.13,5960408356.561034,5923187539.22139,565199426.1217757,"[1784441100000, null, null, 9.9e-07, 89.13, null, null, 5960408356.561034, 5923187539.22139, null, null, 565199426.1217757]"
1784448300000,2026-07-19T08:05:00+00:00,9.9e-07,89.24,5959099906.863709,5921782798.719294,564728423.5031766,"[1784448300000, null, null, 9.9e-07, 89.24, null, null, 5959099906.863709, 5921782798.719294, null, null, 564728423.5031766]"
1784455500000,2026-07-19T10:05:00+00:00,9.9e-07,89.42,5954451537.111743,5916438312.778947,565482987.1693983,"[1784455500000, null, null, 9.9e-07, 89.42, null, null, 5954451537.111743, 5916438312.778947, null, null, 565482987.1693983]"
1784459100000,2026-07-19T11:05:00+00:00,9.9e-07,92.22,5989358579.497384,5905474361.577849,522903111.8141778,"[1784459100000, null, null, 9.9e-07, 92.22, null, null, 5989358579.497384, 5905474361.577849, null, null, 522903111.8141778]"
1784462700000,2026-07-19T12:05:00+00:00,9.9e-07,92.13,5988782062.416342,5904870653.379408,527356259.21505344,"[1784462700000, null, null, 9.9e-07, 92.13, null, null, 5988782062.416342, 5904870653.379408, null, null, 527356259.21505344]"
1784477100000,2026-07-19T16:05:00+00:00,9.9e-07,87.15,6011135110.619196,5970370474.0294,517998593.0873991,"[1784477100000, null, null, 9.9e-07, 87.15, null, null, 6011135110.619196, 5970370474.0294, null, null, 517998593.0873991]"
1784480700000,2026-07-19T17:05:00+00:00,9.8e-07,87.47,6011707002.771383,5970943530.084177,516119452.07303613,"[1784480700000, null, null, 9.8e-07, 87.47, null, null, 6011707002.771383, 5970943530.084177, null, null, 516119452.07303613]"
1784484300000,2026-07-19T18:05:00+00:00,9.8e-07,87.44,6011614789.63535,5970839293.09639,528043173.3061335,"[1784484300000, null, null, 9.8e-07, 87.44, null, null, 6011614789.63535, 5970839293.09639, null, null, 528043173.3061335]"
1784491500000,2026-07-19T20:05:00+00:00,9.9e-07,87.28,5997612584.145425,5956758076.305922,526863209.5263644,"[1784491500000, null, null, 9.9e-07, 87.28, null, null, 5997612584.145425, 5956758076.305922, null, null, 526863209.5263644]"
1784495100000,2026-07-19T21:05:00+00:00,9.9e-07,87.14,5999567948.295929,5959593470.132576,524730647.13979936,"[1784495100000, null, null, 9.9e-07, 87.14, null, null, 5999567948.295929, 5959593470.132576, null, null, 524730647.13979936]"
